srniel_damage_rank,formula,material_id,has_fallback_ed,density_g_cm3,density_source,cell_json,mission_json,electron_niel,proton_niel,cell_template,degradation_coefficients,sadc_status
1,SbIrS,JVASP-10264,False,10.03,JARVIS-DFT density field,sadc_input_bundles/01_SbIrS_JVASP-10264/Cell.json,sadc_input_bundles/01_SbIrS_JVASP-10264/Mission.json,sadc_input_bundles/01_SbIrS_JVASP-10264/niel/electron_NIEL.dat,sadc_input_bundles/01_SbIrS_JVASP-10264/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
2,InN,JVASP-17841,False,8.235,JARVIS-DFT density field,sadc_input_bundles/02_InN_JVASP-17841/Cell.json,sadc_input_bundles/02_InN_JVASP-17841/Mission.json,sadc_input_bundles/02_InN_JVASP-17841/niel/electron_NIEL.dat,sadc_input_bundles/02_InN_JVASP-17841/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
3,Hg3Cl2O2,JVASP-12474,False,8.225,JARVIS-DFT density field,sadc_input_bundles/03_Hg3Cl2O2_JVASP-12474/Cell.json,sadc_input_bundles/03_Hg3Cl2O2_JVASP-12474/Mission.json,sadc_input_bundles/03_Hg3Cl2O2_JVASP-12474/niel/electron_NIEL.dat,sadc_input_bundles/03_Hg3Cl2O2_JVASP-12474/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
4,PbS,JVASP-17941,False,8.219,JARVIS-DFT density field,sadc_input_bundles/04_PbS_JVASP-17941/Cell.json,sadc_input_bundles/04_PbS_JVASP-17941/Mission.json,sadc_input_bundles/04_PbS_JVASP-17941/niel/electron_NIEL.dat,sadc_input_bundles/04_PbS_JVASP-17941/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
5,Ag2Te,JVASP-108812,False,7.528,JARVIS-DFT density field,sadc_input_bundles/05_Ag2Te_JVASP-108812/Cell.json,sadc_input_bundles/05_Ag2Te_JVASP-108812/Mission.json,sadc_input_bundles/05_Ag2Te_JVASP-108812/niel/electron_NIEL.dat,sadc_input_bundles/05_Ag2Te_JVASP-108812/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
6,PtI2,JVASP-12896,False,7.546,JARVIS-DFT density field,sadc_input_bundles/06_PtI2_JVASP-12896/Cell.json,sadc_input_bundles/06_PtI2_JVASP-12896/Mission.json,sadc_input_bundles/06_PtI2_JVASP-12896/niel/electron_NIEL.dat,sadc_input_bundles/06_PtI2_JVASP-12896/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
7,NbBi3O7,JVASP-13254,False,8.354,JARVIS-DFT density field,sadc_input_bundles/07_NbBi3O7_JVASP-13254/Cell.json,sadc_input_bundles/07_NbBi3O7_JVASP-13254/Mission.json,sadc_input_bundles/07_NbBi3O7_JVASP-13254/niel/electron_NIEL.dat,sadc_input_bundles/07_NbBi3O7_JVASP-13254/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
8,ZnBi2O5,JVASP-9800,False,7.91,JARVIS-DFT density field,sadc_input_bundles/08_ZnBi2O5_JVASP-9800/Cell.json,sadc_input_bundles/08_ZnBi2O5_JVASP-9800/Mission.json,sadc_input_bundles/08_ZnBi2O5_JVASP-9800/niel/electron_NIEL.dat,sadc_input_bundles/08_ZnBi2O5_JVASP-9800/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
9,Ag3SI,JVASP-53111,False,6.577,JARVIS-DFT density field,sadc_input_bundles/09_Ag3SI_JVASP-53111/Cell.json,sadc_input_bundles/09_Ag3SI_JVASP-53111/Mission.json,sadc_input_bundles/09_Ag3SI_JVASP-53111/niel/electron_NIEL.dat,sadc_input_bundles/09_Ag3SI_JVASP-53111/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
10,AlBiO3,JVASP-11273,False,6.414,JARVIS-DFT density field,sadc_input_bundles/10_AlBiO3_JVASP-11273/Cell.json,sadc_input_bundles/10_AlBiO3_JVASP-11273/Mission.json,sadc_input_bundles/10_AlBiO3_JVASP-11273/niel/electron_NIEL.dat,sadc_input_bundles/10_AlBiO3_JVASP-11273/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
