formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag2Te,JVASP-108812,electron,0.04,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.045,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.05,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.055,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.06,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.065,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.07,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.075,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.08,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.085,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.09,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.095,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.1,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.15,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.2,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.25,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.3,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.35,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.4,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.45,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.5,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.55,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.6,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.65,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.7,0.0,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.75,1.0921e-07,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.8,4.545e-07,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.85,8.8366e-07,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.9,1.3724e-06,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,0.95,1.9028e-06,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,1.0,2.4614e-06,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,1.5,8.7271e-06,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,2.0,1.5635e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,2.5,2.1737e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,3.0,2.6931e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,3.5,3.1371e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,4.0,3.5212e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,4.5,3.8577e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,5.0,4.1559e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,5.5,4.4228e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,6.0,4.6637e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,6.5,4.8828e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,7.0,5.0833e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,7.5,5.2678e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,8.0,5.4384e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,8.5,5.5968e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,9.0,5.7444e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,9.5,5.8825e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,10.0,6.012e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,15.0,6.9751e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,20.0,7.5754e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,25.0,7.9761e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,30.0,8.2509e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,35.0,8.4404e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,40.0,8.5699e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,45.0,8.6564e-05,Ag2Te_JVASP-108812_e_srniel.csv
