formula,material_id,particle,status,result_url,omere_dat,raw_curve_csv,elements,stoichiometry,ed_eV,has_fallback_ed,payload_json,error
Ag2Te,JVASP-108812,electron,ok,http://www.sr-niel.org/Simulation/350308niel_e.html,omere_inputs/Ag2Te_JVASP-108812_e_NIEL.dat,raw_srniel_tables/Ag2Te_JVASP-108812_e_srniel.csv,Ag;Te,2;1,25.44;49.149,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""2"", ""Stoich1"": ""2"", ""Stoich2"": ""1"", ""TARGET"": ""0"", ""Th1"": ""25.44"", ""Th2"": ""49.149"", ""Z1"": ""47"", ""Z2"": ""52"", ""formSubmit"": ""CALCULATE""}",
Ag2Te,JVASP-108812,proton,ok,http://www.sr-niel.org/Simulation/395493niel_p.html,omere_inputs/Ag2Te_JVASP-108812_p_NIEL.dat,raw_srniel_tables/Ag2Te_JVASP-108812_p_srniel.csv,Ag;Te,2;1,25.44;49.149,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""2"", ""Scale"": ""0"", ""Stoich1"": ""2"", ""Stoich2"": ""1"", ""TARGET"": ""0"", ""Th1"": ""25.44"", ""Th2"": ""49.149"", ""Z1"": ""47"", ""Z2"": ""52"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
Ag3PO4,JVASP-9585,electron,ok,http://www.sr-niel.org/Simulation/259174niel_e.html,omere_inputs/Ag3PO4_JVASP-9585_e_NIEL.dat,raw_srniel_tables/Ag3PO4_JVASP-9585_e_srniel.csv,Ag;P;O,3;1;4,14.705;8.7;6.933,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""4"", ""TARGET"": ""0"", ""Th1"": ""14.705"", ""Th2"": ""8.7"", ""Th3"": ""6.933"", ""Z1"": ""47"", ""Z2"": ""15"", ""Z3"": ""8"", ""formSubmit"": ""CALCULATE""}",
Ag3PO4,JVASP-9585,proton,ok,http://www.sr-niel.org/Simulation/586100niel_p.html,omere_inputs/Ag3PO4_JVASP-9585_p_NIEL.dat,raw_srniel_tables/Ag3PO4_JVASP-9585_p_srniel.csv,Ag;P;O,3;1;4,14.705;8.7;6.933,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""4"", ""TARGET"": ""0"", ""Th1"": ""14.705"", ""Th2"": ""8.7"", ""Th3"": ""6.933"", ""Z1"": ""47"", ""Z2"": ""15"", ""Z3"": ""8"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
Ag3SI,JVASP-53111,electron,ok,http://www.sr-niel.org/Simulation/615538niel_e.html,omere_inputs/Ag3SI_JVASP-53111_e_NIEL.dat,raw_srniel_tables/Ag3SI_JVASP-53111_e_srniel.csv,Ag;S;I,3;1;1,29.402;2.943;43.659,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""29.402"", ""Th2"": ""2.943"", ""Th3"": ""43.659"", ""Z1"": ""47"", ""Z2"": ""16"", ""Z3"": ""53"", ""formSubmit"": ""CALCULATE""}",
Ag3SI,JVASP-53111,proton,ok,http://www.sr-niel.org/Simulation/370658niel_p.html,omere_inputs/Ag3SI_JVASP-53111_p_NIEL.dat,raw_srniel_tables/Ag3SI_JVASP-53111_p_srniel.csv,Ag;S;I,3;1;1,29.402;2.943;43.659,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""29.402"", ""Th2"": ""2.943"", ""Th3"": ""43.659"", ""Z1"": ""47"", ""Z2"": ""16"", ""Z3"": ""53"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
AlBiO3,JVASP-11273,electron,ok,http://www.sr-niel.org/Simulation/570487niel_e.html,omere_inputs/AlBiO3_JVASP-11273_e_NIEL.dat,raw_srniel_tables/AlBiO3_JVASP-11273_e_srniel.csv,Al;Bi;O,1;1;3,4.392;21.997;8.407,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""3"", ""TARGET"": ""0"", ""Th1"": ""4.392"", ""Th2"": ""21.997"", ""Th3"": ""8.407"", ""Z1"": ""13"", ""Z2"": ""83"", ""Z3"": ""8"", ""formSubmit"": ""CALCULATE""}",
AlBiO3,JVASP-11273,proton,ok,http://www.sr-niel.org/Simulation/572899niel_p.html,omere_inputs/AlBiO3_JVASP-11273_p_NIEL.dat,raw_srniel_tables/AlBiO3_JVASP-11273_p_srniel.csv,Al;Bi;O,1;1;3,4.392;21.997;8.407,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""3"", ""TARGET"": ""0"", ""Th1"": ""4.392"", ""Th2"": ""21.997"", ""Th3"": ""8.407"", ""Z1"": ""13"", ""Z2"": ""83"", ""Z3"": ""8"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
AlInSb2,JVASP-109795,electron,ok,http://www.sr-niel.org/Simulation/813928niel_e.html,omere_inputs/AlInSb2_JVASP-109795_e_NIEL.dat,raw_srniel_tables/AlInSb2_JVASP-109795_e_srniel.csv,Al;In;Sb,1;1;2,1.35;0.286;14.278,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""2"", ""TARGET"": ""0"", ""Th1"": ""1.35"", ""Th2"": ""0.286"", ""Th3"": ""14.278"", ""Z1"": ""13"", ""Z2"": ""49"", ""Z3"": ""51"", ""formSubmit"": ""CALCULATE""}",
AlInSb2,JVASP-109795,proton,ok,http://www.sr-niel.org/Simulation/507461niel_p.html,omere_inputs/AlInSb2_JVASP-109795_p_NIEL.dat,raw_srniel_tables/AlInSb2_JVASP-109795_p_srniel.csv,Al;In;Sb,1;1;2,1.35;0.286;14.278,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""2"", ""TARGET"": ""0"", ""Th1"": ""1.35"", ""Th2"": ""0.286"", ""Th3"": ""14.278"", ""Z1"": ""13"", ""Z2"": ""49"", ""Z3"": ""51"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
