formula,material_id,has_fallback_ed,element_count,elements,ed_eV_by_element,electron_log_integral_0p04_100_MeV,electron_niel_1MeV_MeV_cm2_g,electron_niel_10MeV_MeV_cm2_g,electron_niel_100MeV_MeV_cm2_g,proton_log_integral_1e-4_1e4_MeV,proton_niel_1MeV_MeV_cm2_g,proton_niel_10MeV_MeV_cm2_g,proton_niel_100MeV_MeV_cm2_g,leo10yr_electron_ddd_MeV_g,leo10yr_proton_ddd_MeV_g,electron_log_integral_0p04_100_MeV_relative_to_median,proton_log_integral_1e-4_1e4_MeV_relative_to_median,srniel_damage_screening_score,leo10yr_total_ddd_MeV_g,leo10yr_total_ddd_relative_to_median,srniel_damage_rank
SbIrS,JVASP-10264,False,3,Sb;Ir;S,Sb:47.815;Ir:122.53;S:24.467,0.00019874356435471157,2.1364e-06,4.9499e-05,7.0045e-05,2.627921587089635,0.033932,0.004867,0.0016781,18090969.536412,355965854998.39417,0.4940209834020269,0.19918212816981853,0.31368798324858144,355983945967.9306,0.5586003590352714,1
InN,JVASP-17841,False,2,In;N,In:60.643;N:52.307,0.0002239806169387584,2.3288e-06,5.3511e-05,8.1427e-05,4.429377509784747,0.039022,0.0054381,0.0028015,21629806.969733994,438630173608.04785,0.5567532463370299,0.33572266509044996,0.4323363085122825,438651803415.0176,0.6883205202213589,2
Hg3Cl2O2,JVASP-12474,False,3,Hg;Cl;O,Hg:17.776;Cl:12.456;O:2.177,0.00032470644280634277,8.8501e-06,7.6598e-05,8.6897e-05,6.50570170198105,0.040789,0.0056569,0.0010149,963582924.8498765,444280512272.4882,0.8071295124095957,0.4930967181839271,0.6308667955428983,445244095197.3381,0.6986649658015011,3
PbS,JVASP-17941,False,2,Pb;S,Pb:12.507;S:7.6,0.00033730775832842405,1.4228e-05,8.0516e-05,8.9481e-05,5.313996693386978,0.041643,0.0058189,0.0010579,264147836.57894307,446394413996.0181,0.8384528627107258,0.40277197602703607,0.581124183216913,446658561832.59705,0.7008845085063011,4
Ag2Te,JVASP-108812,False,2,Ag;Te,Ag:25.44;Te:49.149,0.0002510671131561367,2.4614e-06,6.012e-05,8.6743e-05,2.914520377681008,0.041345,0.0055583,0.0021752,18223270.600362994,448616165400.5067,0.6240827095157319,0.2209047538833607,0.37129885180058614,448634388671.10706,0.7039849224263228,5
PtI2,JVASP-12896,False,2,Pt;I,Pt:6.913;I:10.106,0.0003418734325942456,2.0916e-05,7.9349e-05,9.4625e-05,3.4361039847960324,0.04359,0.0057599,0.00076432,110951264.43197496,456241033959.9043,0.8498018535473241,0.2604379474893073,0.4704472877065761,456351985224.33624,0.7160951657514855,6
NbBi3O7,JVASP-13254,False,3,Nb;Bi;O,Nb:1.558;Bi:57.752;O:0.691,0.0003804937534709133,2.1304e-05,7.5509e-05,8.757e-05,11.622033670841153,0.041876,0.005612,0.0011096,5117056998.851544,469746357812.1397,0.9458011829381421,0.880886785812788,0.9127670919003997,474863414810.9913,0.7451427993048626,7
ZnBi2O5,JVASP-9800,False,3,Zn;Bi;O,Zn:10;Bi:8;O:28,0.0003618349798161279,2.3626e-05,8.4223e-05,9.5038e-05,7.41532360865034,0.043913,0.0060344,0.0012181,188971416.71348095,486746292320.77405,0.8994206838264265,0.5620410992074608,0.7109932417314041,486935263737.48755,0.7640856174317449,8
Ag3SI,JVASP-53111,False,3,Ag;S;I,Ag:29.402;S:2.943;I:43.659,0.00028781501366740376,5.989e-06,6.5762e-05,9.4179e-05,4.927602522473944,0.044767,0.0060747,0.0024736,545263664.166393,497939162591.88605,0.7154277249253119,0.3734854045962251,0.5169156732998981,498484426256.0524,0.7822082502147643,9
AlBiO3,JVASP-11273,False,3,Al;Bi;O,Al:4.392;Bi:21.997;O:8.407,0.0003551905110241158,1.4806e-05,8.0535e-05,9.2398e-05,13.375382610014631,0.043702,0.0059885,0.0010678,1415572248.5939476,512312192979.62616,0.8829043904940024,1.0137810756746244,0.9460823234332509,513727765228.2201,0.8061276845577845,10
CuAs2Pb6Cl7O6,JVASP-53178,False,5,Cu;As;Pb;Cl;O,Cu:1.032;As:7.905;Pb:9.406;Cl:8.419;O:4.314,0.00039275603176999047,2.569e-05,8.6568e-05,0.00010029,9.109841076887099,0.046602,0.0064598,0.0015132,1236477498.4814942,521947782836.036,0.9762817814104912,0.6904762843372134,0.821035575900601,523184260334.5175,0.8209665603594166,11
Ta2Te4Br10O,JVASP-31871,False,4,Ta;Te;Br;O,Ta:11.673;Te:9.079;Br:7.234;O:7.082,0.00035653608819316465,2.2371e-05,7.9462e-05,0.00010362,6.210611979583581,0.048904,0.0064679,0.0020636,275389298.80180097,540281129134.3187,0.8862491194589636,0.4707305261343147,0.6458982228563499,540556518433.12054,0.8482266368910906,12
Cd2GaAgSe4,JVASP-108799,False,4,Cd;Ga;Ag;Se,Cd:14.814;Ga:2.202;Ag:5.875;Se:25.628,0.0003333098760764476,1.6609e-05,7.3617e-05,0.00010322,5.667490497929118,0.048999,0.0066719,0.0033656,484059086.5577241,549908699291.7754,0.8285152442119355,0.42956487906853297,0.596574430131175,550392758378.3331,0.8636613980009294,13
Na2WO4,JVASP-11669,False,3,Na;W;O,Na:27.677;W:19.987;O:7.052,0.00036514628513843197,1.7399e-05,8.0316e-05,9.9369e-05,16.41596279309187,0.046753,0.006361,0.0011807,1405299333.1442125,574306464723.7166,0.9076516638683733,1.244240475495234,1.062702657301479,575711764056.8607,0.9033912954376968,14
AlInSb2,JVASP-109795,False,3,Al;In;Sb,Al:1.35;In:0.286;Sb:14.278,0.0005260384228441642,3.8864e-05,9.3022e-05,0.00011789,7.784411153253805,0.053394,0.0071699,0.0031871,7364365438.726162,575654274714.8596,1.3075845741445489,0.5900159227243633,0.8783482902892449,583018640153.5858,0.914857047355129,15
SrTaNO2,JVASP-109687,False,4,Sr;Ta;N;O,Sr:7;Ta:0.56;N:22;O:28,0.0005735434540637082,5.6362e-05,0.00010357,0.0001216,9.810041893669593,0.05271,0.0072121,0.0017174,5595983812.539911,577582098018.4801,1.4256688115678913,0.7435476885671393,1.0295886312035336,583178081831.02,0.9151072389136774,16
HfS3,JVASP-8218,False,2,Hf;S,Hf:30;S:4.039,0.00039041554159759703,2.1448e-05,8.299e-05,0.00010608,11.955713215780417,0.050157,0.006996,0.0016479,2001887542.7421582,587013856713.468,0.9704639766409997,0.9061778760090314,0.9377702197744495,589015744256.2102,0.9242675405609088,17
HgSO4,JVASP-9390,False,3,Hg;S;O,Hg:27.053;S:3.01;O:2.315,0.00044250253698196253,2.5176e-05,8.7369e-05,0.00010322,18.75673277334366,0.048843,0.0065573,0.0012374,4831997415.007959,592752861559.5983,1.0999376970393884,1.4216580774941299,1.250494027069437,597584858974.6062,0.9377139631103729,18
InAgS2,JVASP-12383,False,3,In;Ag;S,In:39.49;Ag:2.877;S:9.262,0.0003994321141530475,2.7129e-05,8.4346e-05,0.00011492,9.444970004329043,0.054013,0.0073907,0.0031893,830086469.3755704,616089175077.8257,0.9928766572992238,0.7158772298247389,0.8430763850239282,616919261547.2013,0.9680529835665287,19
InS,JVASP-51076,False,2,In;S,In:11.529;S:3.526,0.0004116866217121917,2.6911e-05,8.6612e-05,0.00011602,10.439513577185796,0.054815,0.0074275,0.0031841,1522371148.473862,630623387617.9104,1.0233379398827998,0.7912582101296379,0.8998469573596475,632145758766.3843,0.9919459902872627,20
BaAlSi,JVASP-17183,False,3,Ba;Al;Si,Ba:7.95;Al:4.891;Si:2.351,0.00044300313495619485,3.3626e-05,8.9329e-05,0.00011506,13.252840357624725,0.054007,0.007209,0.0014187,2548743406.265347,630792509925.2291,1.10118204376489,1.0044930410766149,1.0517270082679995,633341253331.4945,0.9938219279548435,21
GaAgTeSe,JVASP-109402,False,4,Ga;Ag;Te;Se,Ga:2.622;Ag:1.166;Te:3.638;Se:2.338,0.0005181905653158189,4.9042e-05,9.9307e-05,0.00012612,8.698468001051797,0.058354,0.0075982,0.0026531,3165798134.1312723,630626911905.3234,1.2880769925715798,0.6592964481049671,0.9215338225416204,633792710039.4546,0.9945303415841988,22
Ag3PO4,JVASP-9585,False,3,Ag;P;O,Ag:14.705;P:8.7;O:6.933,0.00038609170106866295,2.2295e-05,8.3061e-05,0.00011247,13.79513382014093,0.053157,0.0070832,0.0029312,1119152918.2606902,633295967581.0406,0.9597161169197905,1.0455959288062986,1.0017361252650934,634415120499.3014,0.9955070112072977,23
